source,name,slug,category,min_price_per_unit,max_price_per_unit,unit,trend_30d_percent,vendor_count,in_stock_count,size_min,size_max,display_sizes,synonyms,detail_url
peptidecritic,Tesamorelin + Ipamorelin,tesamorelin-ipamorelin,Growth Hormone,4.71,8.0,mg,-2.6,24,20,2.0,130.0,2–13mg +4 other sizes,ghrh(1–44) analog + ipamorelin; 2x blend tesamorelin; tesamorelin +ipamorelin; tesamorelin (11mg) + ipamorelin (3mg) blend,https://peptidecritic.com/peptides/tesamorelin-ipamorelin
peptidecritic,GLP1-S,glp1-s,Weight Loss,2.21,20.4,mg,28.7,50,39,3.0,100.0,5–30mg +6 other sizes,glp-1 analogue; ozempic; wegovy; rybelsus,https://peptidecritic.com/peptides/glp1-s
peptidecritic,Ipamorelin,ipamorelin,Growth Hormone,0.33,120.0,mg,-4.4,75,65,0.7,30.0,2–10mg +8 other sizes,nnc 26-0161; ipamorelin acetate,https://peptidecritic.com/peptides/ipamorelin
peptidecritic,KPV,kpv,Healing,2.88,8.0,mg,-3.0,63,53,4.0,30.0,5–10mg +8 other sizes,α-msh (11–13); lys-pro-val,https://peptidecritic.com/peptides/kpv
peptidecritic,Epitalon (Epithalon),epitalon-epithalon,Longevity,2.0,12.0,mg,-2.9,62,53,3.0,105.0,10–50mg +11 other sizes,epithalon; epithalone; aedg,https://peptidecritic.com/peptides/epitalon-epithalon
peptidecritic,Sermorelin,sermorelin,Growth Hormone,5.04,42.5,mg,2.3,61,52,1.0,12.0,2–10mg +2 other sizes,grf(1–29) amide; ghrh(1–29) amide,https://peptidecritic.com/peptides/sermorelin
peptidecritic,Glutathione,glutathione-0,Longevity,0.03,0.08,mg,-2.2,42,34,5.0,4000.0,"600–1,500mg +7 other sizes",gsh; l-γ-glutamyl-l-cysteinyl-glycine; reduced glutathione,https://peptidecritic.com/peptides/glutathione-0
peptidecritic,CJC-1295 (no DAC),cjc-1295-no-dac,Growth Hormone,3.15,23.8,mg,15.5,56,46,2.0,20.0,2–10mg +3 other sizes,mod-grf(1–29); cjc-1295 without dac; tetrasubstituted grf(1–29),https://peptidecritic.com/peptides/cjc-1295-no-dac
peptidecritic,DSIP,dsip,Sleep,2.84,11.6,mg,-3.2,67,56,2.0,15.0,5–10mg +8 other sizes,delta sleep-inducing peptide; emideltide,https://peptidecritic.com/peptides/dsip
peptidecritic,Thymosin Alpha-1,thymosin-alpha-1,Immunity & Recovery,0.4,15.9,mg,-16.8,62,49,0.5,100.0,5–10mg +6 other sizes,thymalfasin; tα1; zadaxin,https://peptidecritic.com/peptides/thymosin-alpha-1
peptidecritic,Pinealon,pinealon,Cognition,0.84,5.0,mg,0.0,33,24,5.0,25.0,10–20mg +2 other sizes,edr peptide,https://peptidecritic.com/peptides/pinealon
peptidecritic,IGF-1 LR3,igf-1-lr3,Performance,3.56,90.0,mg,-0.4,41,30,0.1,60.0,1mg +5 other sizes,long r3 igf-1; lr3 igf-1,https://peptidecritic.com/peptides/igf-1-lr3
peptidecritic,Melanotan-2,melanotan-2,Libido & Tanning,2.55,6.0,mg,-0.4,62,50,5.0,10.0,10mg +2 other sizes,mt-ii; melanotan ii,https://peptidecritic.com/peptides/melanotan-2
peptidecritic,SLU-PP-332 (Tablets),slu-pp-332-tablets,Energy,1.44,5.33,mg,1283.3,15,9,0.25,10.0,0.5–5.0mg +3 other sizes,pan-err agonist; errα/β/γ agonist,https://peptidecritic.com/peptides/slu-pp-332-tablets
peptidecritic,GLP3-R + Cagrilintide Blend,glp3-r-cagrilintide-blend,,5.04,16.4,mg,8.1,13,11,5.0,30.0,6–25mg +2 other sizes,,https://peptidecritic.com/peptides/glp3-r-cagrilintide-blend
peptidecritic,ARA-290,ara-290,Immunity & Recovery,4.13,11.8,mg,-10.9,33,26,5.0,30.0,5–16mg +1 other size,cibinetide; phbsp; helix b surface peptide,https://peptidecritic.com/peptides/ara-290
peptidecritic,5-Amino-1MQ (Tablets),5-amino-1mq-tablets,Weight Loss,0.02,0.08,mg,-11.6,19,13,10.0,6000.0,"10–3,000mg +1 other size",5-amino-1-methylquinolinium iodide; nnmt inhibitor; 5-amino-1mq,https://peptidecritic.com/peptides/5-amino-1mq-tablets
peptidecritic,Kisspeptin,kisspeptin,Sexual Health,2.88,10.29,mg,-16.3,45,36,5.0,10.0,5–10mg,kisspeptin; metastin (45–54); kisspeptin-10; kp-10,https://peptidecritic.com/peptides/kisspeptin
peptidecritic,Melanotan-1,melanotan-1,Libido & Tanning,2.52,4.4,mg,-1.3,41,33,10.0,10.0,10mg,afamelanotide; ndp-α-msh; scenesse,https://peptidecritic.com/peptides/melanotan-1
peptidecritic,Cartalax,cartalax,Healing,2.28,3.5,mg,0.0,21,19,0.1,40.0,20mg +5 other sizes,aed; t‑31; alanyl‑glutamyl‑aspartate,https://peptidecritic.com/peptides/cartalax
peptidecritic,Oxytocin,oxytocin,Sexual Health,2.5,21.0,mg,-23.2,43,35,2.0,30.0,2–10mg +2 other sizes,oxt; syntocinon,https://peptidecritic.com/peptides/oxytocin
peptidecritic,Dihexa (Tablets),dihexa-tablets,Cognition,0.35,0.37,mg,9999.0,5,2,5.0,1000.0,"5–1,000mg",pnb-0408; angiotensin iv analogue; hgf/c-met modulator,https://peptidecritic.com/peptides/dihexa-tablets
peptidecritic,CJC-1295 (with DAC),cjc-1295-dac,Growth Hormone,6.12,12.0,mg,23.7,36,32,2.0,32.0,2–5mg +5 other sizes,cjc-1295 dac; dac-grf(1–29),https://peptidecritic.com/peptides/cjc-1295-dac
peptidecritic,VIP,vip,Longevity,3.5,10.0,mg,-10.9,28,23,2.0,10.0,5–10mg +1 other size,v.i.p.; vasoactive intestinal peptide,https://peptidecritic.com/peptides/vip
peptidecritic,LL-37,ll-37,Immunity & Recovery,1.1,18.4,mg,-8.9,46,40,5.0,10.0,5–10mg,cathelicidin; hcap-18 (c-terminal peptide),https://peptidecritic.com/peptides/ll-37
